[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Lonnie sedang mencoba menerka jurusan apa yang sebaiknya diambilnya di kampus.,Ia tahu bahwa sasaran akhirnya adalah menjadi seorang guru.,Ia meminta saran kepada penasihat karier.,Penasihat itu memberinya daftar prasyarat.,Lonnie akhirnya memutuskan untuk masuk ke bidang pendidikan.,Lonnie membuang daftar itu.,0
Sherry suka menjelajahi alam terbuka.,Ia memutuskan untuk berjalan-jalan di taman negara bagian di hari yang cerah.,"Selagi menyusuri sebuah sungai kecil, ia melihat sesuatu yang berkilauan.",Ia membungkuk dan memungut benda yang berkilauan itu.,Itu adalah sekeping koin.,Ia memungut sebuah pisau berkarat.,0
Phil pergi berjalan-jalan di taman.,Hari itu hangat dan berangin.,Ia bertemu dengan beberapa orang teman di sepanjang jalan.,Salah satu dari mereka menawarinya minuman.,Phil merasa haus dan menerima minuman itu.,Phil marah kepada teman-temannya.,0
Kucing Dorothy sedang hamil.,Ia tidak tahu bagaimana itu bisa terjadi.,Ia meyakinkan keluarganya untuk memelihara anak-anak kucing itu.,Kucingnya melahirkan 7 ekor anak kucing.,Dorothy memastikan untuk membeli banyak makanan kucing.,Dorothy pergi ke toko hewan dan membeli seekor hamster baru.,0
Ibu Jeremy tidak menyetujui gaya hidupnya.,"Saat berusia 21 tahun, Jeremy memutuskan untuk keluar dari rumah.",Ia menemukan sebuah apartemen di negara bagian yang dekat dengan yang pekerjaan baru.,Setelah beberapa tahun ia memperbaiki diri dan membiayai hidupnya sendiri.,Jeremy terpaksa pindah kembali ke rumah ibunya.,Jeremy senang menjadi lebih bertanggung jawab.,1
Terry menyadari bahwa lingkungan sekitarnya telah dicemari sampah.,Ia berharap tempat itu bisa tampak sebersih saat ia masih muda.,Ia memutuskan untuk memunguti kaleng dan puntung rokok setiap malam sepulang kerja.,Akhirnya tetangga-tetangganya turut melakukannya dan lingkungannya tampak lebih baik.,Terry benci bersih-bersih.,Semua orang merasa lebih baik karena tempat itu lebih bersih.,1
Aku ingin mandi sepulang kerja.,Aku mengambil baju dan handukku dari lemari.,Aku pergi ke kamar mandi dan menyalakan pancuran.,Aku menanggalkan baju.,Lalu aku pergi ke rumah tetanggaku untuk meminjam sabun.,Lalu aku melangkah ke bawah pancuran air panas.,1
Aku menghampiri bagian depan sekolahku.,"Karena kakakku sedang bekerja, aku harus menunggunya menjemputku.","Beberapa jam kemudian, aku menunggu dengan tidak sabar.",Ia akhirnya datang sebelum malam tiba.,Aku sangat marah kepadanya karena tidak menjemputku lebih cepat.,Aku senang pulang lebih cepat dari sekolah hari itu.,0
Barry suka mengangkat beban.,Ia hanya menggunakan barbel khususnya untuk mengangkat beban.,"Pada suatu hari, ia lupa membawa barbelnya!",Ia memutuskan untuk melakukan kardio alih-alih angkat beban.,Ia selalu menikmati tidur siang yang nyaman di ranjang gantungnya.,Akhirnya ia tetap bisa menikmati olahraganya.,1
Amber akhir-akhir bekerja sangat keras.,Ia juga merasa sangat tertekan karena berbagai masalah pribadi lainnya.,Ia sangat mendambakan satu hari libur untuk bersantai.,Di hari liburnya ia bercengkerama bersama kekasihnya Rob,Amber tak dapat menemukan waktu untuk bersantai.,Mereka bersantai sepanjang hari dan Amber merasa jauh lebih baik.,1
Carl bergabung di militer tepat setelah SMU.,Ia menandatangani kontrak pendek yang menempatkannya di garis depan.,Teman terbaiknya terbunuh di depan matanya.,Kebahagiaan menjadi sebuah konsep yang asing bagi Carl.,Carl bercengkerama dengan teman terbaiknya saat mereka pulang.,Carl harus mengikuti terapi untuk gangguan stres pascatrauma.,1
Eddie suka mengamati orang-orang yang menggunakan detektor logam di pantai.,Ia mengamati seorang pria selama beberapa saat.,Sudah lebih dari satu jam dan pria itu belum menemukan apa pun.,Eddie diam-diam mengubur setumpuk koin di dalam pasir.,Sayangnya pria itu tak menemukan apa pun hari itu.,Dan melihat pria itu dengan gembira mendapatkan ping.,1
"Saat aku pertama kali bertemu Janice, ia tidak tahu cara membuka kacang kenari.",Aku tak percaya ia bisa hidup selama ini tanpa keahlian itu.,Aku menawarkan diri untuk mengajarinya berbagai cara untuk membuka kacang.,Ia setuju.,Janice memutuskan bahwa ia tidak ingin mempelajari cara membuka kacang kenari.,Janice kini adalah ahli pembuka kacang kenari.,1
Amy berjalan kaki pulang dari latihan voli sendirian.,Ia menelepon dan memberi tahu temannya Kim bahwa ia adalah pemain yang paling payah.,Amy merasa seperti pecundang hanya dengan mengucapkannya.,Kim mengingatkannya bahwa itu adalah hari pertamanya dan ia akan menjadi lebih baik.,Dan di sepanjang musim kemampuannya terus meningkat.,Ia suka bermain voli dengan payah.,0
Beth sedang mandi saat didengarnya sebuah ketukan keras di pintu.,Ia tak ingin menjawabnya dan menunggu orang itu pergi.,"Kali berikutnya saat mandi, ia mendengar ketukan keras itu lagi.","Tetapi saat ia berlari keluar dari kamar mandi untuk menjawabnya, tak ada orang di sana.",Beth memutuskan bahwa ia hanya membayangkan suara itu.,Beth tuli.,0
Joe kuliah jurusan seni.,Ia lulus dengan gelar sarjana seni rupa.,Ia tak dapat menemukan pekerjaan.,Ia lalu menanggapi sebuah iklan di surat kabar.,Joe benci pizza.,Ia lalu direkrut.,1
Bob memungut kacamatanya dari meja.,Ia menyelipkannya ke dalam ranselnya untuk dipakai di sekolah.,Ia memerlukannya untuk melihat ke papan.,Ia memakainya di kelas sains.,Bob suka menggunakan teropongnya.,Bob dapat membaca tulisan di papan.,1
Aku sangat gugup sebelum dansa pertamaku di SMP.,Aku terkejut karena orang yang kusukai menerima ajakanku.,"Saat kesempatan untuk berdansa akhirnya tiba, aku menginjak kakinya.",Kakinya patah.,Aku mengantarnya ke iHop untuk panekuk dan susu kocok.,Kini ia bahkan tak mau bicara kepadaku.,1
Temanku pergi keluar di suatu malam untuk mencari cinta.,Ia akhirnya menjadi cukup mabuk.,"Hal berikutnya yang kami tahu, ia sedang merayu seorang pria gay.","Setelah beberapa saat, kami kehilangan jejaknya.",Teman kami akhirnya pulang pukul tiga dini hari bersama seorang gadis.,Kami akhirnya tahu bahwa teman kami tadi pergi berski.,0
Benjamin pergi ke taman hari ini.,"Pertama-tama, ia bergelantungan terbalik di batang monyet.","Setelah itu, ia meluncur di seluncuran.",Lalu ibunya mendorongnya di ayunan dan ia berayun sangat tinggi.,Benjamin tidak menikmati taman.,Benjamin bersenang-senang lalu meninggalkan taman.,1
Megan dan aku berjalan pulang dari sekolah di dekat sebuah jalan yang ramai.,Aku melihat tiga buah mobil biru lewat beriringan.,Kami memutuskan untuk menghitung mobil-mobil biru.,Megan dan aku duduk di trotoar sepanjang sore.,"Setelah menghitung mobil, kami pulang ke rumah.","Kami lalu duduk dan mulai menghitung mobil,",0
Kelly memutuskan untuk mengadakan pesta di rumah.,"Orang tuanya sedang pergi, jadi dia memutuskan untuk mengadakan pesta.",Dia mengundang semua temannya.,"Sesampainya di sana, mereka semua bersenang-senang.",Kelly mengidap gangguan neurologis yang membuatnya harus duduk di kursi roda.,Kelly merapikan rumahnya tepat waktu dan orang tuanya tidak pernah tahu.,1
"Suatu sore, James menyadari jika dia sama sekali belum keluar rumah seharian.",Dia memutuskan untuk lari di taman.,Dia berjoging lama mengelilingi danau di taman setempat.,"Sesampainya di rumah, dia merasa lelah, tetapi puas.",James memutuskan untuk tidak pernah meninggalkan rumah lagi.,James senang dia memutuskan untuk berlari.,1
Lars menyadari banyak salju menumpuk di deknya.,Dia memutuskan jika dia harus menyekop salju itu.,Lars bekerja lama sepanjang sore sampai saljunya bersih.,"Saat sudah selesai, dia masuk ke dalam untuk mandi.",Dia merasakan kepuasan.,"Saat selesai mandi, dia menyekop dek.",0
"Matt mencurigai istrinya, Ginny, berselingkuh.",Dia mulai diam-diam membaca surel istrinya.,Dia menemukan beberapa surel dari pria lain.,"Membacanya, dia melihat bahwa kecurigaannya memang benar.",Matt mulai tertawa.,Matt benar-benar marah.,1
Mike tadinya suka bermain bola raket dengan Perry.,Mereka memesan lapangan beberapa kali setiap minggu.,"Tetapi suatu kali, Mike tidak sengaja menghantam Perry di belakang kepalanya.",Perry tidak terlalu senang dengan kejadian itu.,Mike harus meminta maaf.,Mike dan Perry menikah.,0
Sydney harus mencuci pakaian.,Dia mengurutkan pakaian kotornya berdasarkan warna.,Dia memasukkan tumpukan pertama ke dalam mesin cuci.,Dia menambahkan detergen dan pelembut pakaian.,Dia memutuskan untuk pergi ke bioskop.,Dia melanjutkan hal ini sampai cuciannya selesai.,1
Ada badai datang dan kami harus dievakuasi.,Kami mengepak yang kami perlukan dan pergi ke sisi lain pulau.,Kami menunggu badai berlalu bersama keluarga di sana.,"Saat sudah berlalu, kami mengepak barang-barang dan pulang ke rumah.","Kami menemukan rumah kami masih berdiri, tetapi tercerai-berai.",Kami memutuskan untuk berenang di pantai.,0
Tom menggigit batangan Snickers dan merasakan sakit yang menusuk.,Kerikil kecil di dalamnya telah membuat satu giginya patah menjadi dua!,Dia bergegas ke dokter gigi.,"Karena ini darurat, mereka segera memeriksanya.",Dokter gigi membetulkan giginya.,Tom bersenang-senang hari itu.,0
Rufus terbangun dan menyadari topinya hilang.,Awalnya dia tidak bisa mengingat di mana kira-kira topi itu berada.,Akhirnya dia menyadari kalau dia memakai topi itu ke bar tadi malam.,Rufus kembali ke bar untuk mengambil topinya.,Rufus lega saat menemukan kopernya di bar.,Dia melihat topinya tergantung di tanduk rusa di belakang bar.,1
Alexia gembira sekali karena akan mendapatkan anjing baru.,Dia sudah lama sekali menginginkan anjing baru.,Akhirnya orang tuanya setuju untuk mencarikan satu untuknya.,Mereka mengantarkannya ke penampungan anjing.,Alexia jatuh cinta dengan anjing berbulu tebal di penampungan.,Alexia menangis karena dia malah ingin kucing.,0
Dan ingin mencari hadiah yang sempurna untuk ulang tahun ibunya.,Dia berbelanja di mal selama berjam-jam dan tidak dapat menemukan apa pun.,Dia sampai di rumah dengan kecewa dan tanpa hadiah.,Ibunya melihat raut mukanya saat dia masuk dan bertanya ada apa.,Dan menjelaskan apa yang terjadi dan ibunya tidak kecewa.,Dan membentak ibunya karena ibunya pilih-pilih.,0
Bill miskin.,Bill kerja dengan upah minimum.,Dia hampir tidak bisa membayar tagihannya.,Bill memutuskan untuk mendapatkan gelar ilmu komputer.,Bill mulai menghasilkan lebih banyak uang.,Bill menghasilkan lebih sedikit uang sebagai ahli komputer dibandingkan sebelumnya.,0
Jane suka sepatu hak tinggi barunya.,Dia ingin memakainya.,Dia memakainya untuk berdansa di kelab.,"Dalam hitungan menit, kakinya terasa sangat sakit.",Jane berdansa telanjang kaki dan meninggalkan sepatunya di tas.,Jane gelisah untuk memulai kelas dansa ketuk.,0
Jose adalah seorang imigran.,Dia dan keluarganya datang ke sini dari Meksiko.,Jose ingin melakukan perjalanan mengunjungi anggota keluarganya yang lain di Meksiko.,Dia merencanakannya dengan cermat dan membeli barang yang dibutuhkan untuk perjalanan.,Jose melakukan perjalanan ke Meksiko.,Jose bersumpah tidak akan pernah pergi ke Meksiko lagi.,0
Hannah merasa sangat kaku dan kurang lentur.,Dia memutuskan untuk mendaftar kelas Yoga untuk meningkatkan kelenturannya.,Dia melakukan Yoga dengan buruk dan selama berbulan-bulan tidak ada peningkatan.,Tetapi dia memutuskan untuk bertahan dan terus mencoba.,Makin lama Hannah makin kaku.,Hannah akhirnya berhasil.,1
Guru mengumumkan akan ada kuis dadakan.,Para murid serentak mengeluh.,Ini adalah kuis dadakan kedua dalam satu minggu.,"Saat guru yang mulai membagikan kuis, alarm kebakaran berbunyi.",Para murid bersorak karena mereka bebas.,Anak-anak kesal karena mereka harus berada di luar.,0
"Carla cemas anak perempuannya, Ann, terlalu banyak berkegiatan.",Dia melihat waktu luang anaknya menghilang bersama klub barunya.,Semua mencapai puncaknya saat Ann membawa pulang ujian dengan nilai D.,"Ann berjanji akan berusaha keras, memohon agar diizinkan untuk tetap menjadi anggota klub.",Carla berkata kepada anaknya kalau dia perlu bergabung dengan lebih banyak klub.,Ibu Anna berkata kalau anaknya boleh memilih satu klub jika dia belajar.,1
Keluarga Gina sedang mengunjungi neneknya di Illinois.,Saat itu hari pertama dan Gina adalah yang terakhir bangun.,Dia ke dapur untuk sarapan.,Keluarganya telah menghabiskan hampir semua makanan.,Gina senang dengan apa yang terjadi di rumah itu.,Gina sedih dan menangis.,1
Sebentar lagi James ulang tahun.,Dia menginginkan busur berburu.,Ibunya pergi keluar dan membelikannya satu.,Dia lupa meminta anak panah untuk busur itu.,Dia pergi ke toko olahraga untuk membeli peluru.,Dia memahat beberapa batang untuk membuat anak panah pengganti.,1
Seorang gadis kecil bernama Taylor sudah lama menginginkan hewan piaraan.,"Suatu hari, ibunya memberinya kejutan dengan kunjungan ke toko hewan.",Mereka berdua masuk ke dalam toko dan melihat-lihat.,Taylor kesulitan memutuskan hewan mana yang akan diadopsi.,Taylor akhirnya memilih anak kucing lucu di sudut.,Taylor malah memutuskan untuk belanja pakaian.,0
Zeke mengadakan pesta Halloween.,Semua temannya berdandan.,Zake berpikir untuk menjadi vampir atau penyihir.,Lalu dia memilih kostum yang lebih menakutkan.,Zeke akan berdandan sebagai labu.,Zeke berdandan sebagai jerangkong.,1
Janet selalu ingin bermain film.,Dia akhirnya mendapatkan peran di sebuah film besar.,Tadinya akan diputar perdana secara nasional pekan lalu.,Sayangnya ditunda.,Janet lega.,Janet kecewa.,1
"Marge memohon dipasangkan kolam renang di halaman belakang kepada suaminya, Bill.",Dia akhirnya mengalah dan kolam renang pun dipasang.,"Tidak lama, Marge mengadakan pesta kolam renang mingguan.","Di satu pesta, dia melihat tetangga dengan tubuh berlekuk dan berbikini mengobrol dengan Bill.",Marge menambahkan kunci baru ke gantungan kuncinya.,Saat itu juga Marge merasakan sesal menyesak karena memasang kolam renang.,1
Rosie si kuda kuarter meringkik kesal.,Jones si peternak masih belum membawakan haver sarapan paginya.,"Merasa badung, dia menyelinap ke arah kebun apel.","Jones si peternak tidak tahu tentang titik rendah di pagar, tetapi Rosie tahu!",Rosie menunggu Jones si peternak dengan sabar.,Rosie kabur untuk menuju ke kebun.,1
Rick sedang di bar saat dia melihat SIM di lantai.,Dia menanyakan kepada orang-orang di sana apakah itu milik seseorang di sana.,"Tentu saja bukan, dan Rick tidak ingin meninggalkannya bersama orang asing.",Jadi dia memutuskan untuk berkendara ke alamat si pemilik SIM.,Rick membuang SIM itu ke luar jendela.,Rick memberikan SIM itu kepada pemiliknya dan membuat pemiliknya senang.,1
Saya mulai diet kemarin.,Saya mengonsumsi makanan sehat sepanjang hari!,"Hari ini, saya melihat piza di kulkas.",Tekad saya bobol dan saya makan semuanya 5 potong.,Saya merasa malu.,Saya bangga dengan tekad saya.,0
Sam dan istrinya sibuk beres-beres untuk perjalanan mereka.,Dia benar-benar menantikan perjalanan ini.,Dia gembira sekali bisa menghabiskan banyak waktu dengan istrinya.,Mereka selesai beres-beres lalu saling melemparkan senyum.,Sam ingin kabur dari istrinya secepat mungkin.,Sam dan istrinya bersenang-senang bersama.,1
Stan ingin bertualang bersama Eric.,Tetapi ibu Eric berkata jika Eric tidak boleh keluar dan bermain.,"Stan memohon-mohon, tetapi tidak berhasil.",Eric menyelinap keluar dari rumahnya dan mengetuk jendela Stan.,Kedua anak laki-laki itu pergi keluar untuk bertualang tanpa ragu-ragu.,Eric tertidur lelap membiarkan Stan berjuang sendiri.,0
Greg suka melemparkan apa saja yang ada di tangannya.,"Suatu hari, dia melemparkan batu sejauh mungkin.",Batu itu memecahkan jendela rumah salah satu tetangganya.,"Dia takut, tetapi dia ingin melakukan hal yang benar.",Greg memberi tahu tetangganya kalau itu tadi dia.,Greg menyalahkan pecahnya jendela itu kepada anak laki-laki lain.,0
Brad pergi ke pantai.,Dia membuat kastel pasir.,Dia melompat ke laut.,Dia berenang bersama ikan kecil.,Hari Brad berlangsung sangat buruk.,Brad lalu pulang ke rumah setelah mengalami hari yang menyenangkan.,1
Anak anjing kami pergi keluar untuk bermain.,"Ia berguling di lumpur, yang melekat di bulunya.","Begitu ia masuk ke dalam rumah, kami membawanya ke kamar mandi.",Ia melompat ke dalam bak untuk mandi.,Kami memandikannya.,"Saat kami selesai, anak anjing kami penuh lumpur.",0
Jerry baru belajar mengendarai sepeda dan tidak sabar pergi bersepeda.,Ia mulai di jalanan dekat rumah dan terisi di lubang.,Sepedanya mendadak terhenti dan ia terpental.,Ia terbaring di sana berteriak minta tolong namun tidak ada orang.,Setelah sekitar dua puluh menit ibu Jerry menemukannya.,Jerry tidak sabar pergi mengendarai sepeda lagi.,0
Ia memutuskan untuk mengunjungi seseorang yang saya kencani secara daring selama ini.,"Saya tidak pernah bertemu langsung, tetapi saya percaya dengan dia.",Penerbangan pesawat memakan waktu beberapa jam.,"Saat ia tiba di hotel, ia mengatakan ia di depan.",Ia naik pesawat dan terbang pulang.,Ia berjalan masuk dan saya melihatnya.,1
Ia mempekerjakan manajer media sosial.,Saya pikir mereka akan mengundang lebih banyak kunjungan ke situs web saya.,Mereka menghabiskan sebagian besar waktunya membaca unggahan orang lain.,Kunjungan ke situs saya sebenarnya turun di bulan berikutnya.,Saya memutuskan memecat manajer media sosial yang baru.,Saya memutuskan memberikan kenaikan gaji bagi manajer media sosial baru.,0
Orang tua Sam keluar selama akhir pekan.,Ia memutuskan untuk menggelar pesta.,Banyak orang yang datang.,Orang yang ada di pesta pada akhirnya mengotori rumah.,Orang tua Sam kesal karena mereka melewatkan keseruan itu.,Sam dalam masalah besar.,1
Hari ini hari pertama sekolah.,Saya memakai pakaian baru yang dibelikan Ibu.,Saya bertemu banyak teman baru.,Kelas favorit saya adalah musik.,Saya senang selama berada di sekolah.,Saya tidak suka sekolah.,0
